"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Immigrant status and period of immigration (11) = Total - Immigrant status and period of immigration"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [3]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [4]", 
"Total - Place of birth of respondent",32852325,30895305,29962640,932665,1957015 
"  Born in Canada",25635025,25634200,25461815,172385,820 
"  Born outside Canada",7217295,5261105,4500825,760285,1956190 
"    Americas",1165465,814250,659575,154670,351215 
"      North America",316465,190680,132930,57755,125780 
"        Saint Pierre and Miquelon",290,235,200,40,60 
"        United States",316165,190445,132730,57715,125720 
"      Central America",172020,117280,96940,20340,54740 
"        Belize",1980,1710,1490,220,270 
"        Costa Rica",4585,2375,1805,570,2210 
"        El Salvador",44800,36930,30365,6560,7870 
"        Guatemala",16170,13150,11395,1750,3020 
"        Honduras",6525,4265,3715,550,2260 
"        Mexico",86175,48625,39355,9275,37550 
"        Nicaragua",9140,8050,7175,875,1090 
"        Panama",2645,2175,1645,530,470 
"      Caribbean and Bermuda",368465,287875,256125,31750,80585 
"        Anguilla",70,65,65,0,0 
"        Antigua and Barbuda",2460,2080,1920,155,380 
"        Aruba",605,515,460,50,90 
"        Bahamas",1990,1325,1070,260,665 
"        Barbados",15855,14140,11765,2375,1715 
"        Bermuda",2935,2525,2140,385,410 
"        Cayman Islands",400,310,300,0,85 
"        Cuba",13935,7310,4840,2470,6625 
"        Curaçao",445,350,315,35,90 
"        Dominica",3095,2625,2365,265,470 
"        Dominican Republic",9035,6180,5195,985,2850 
"        Grenada",10615,8420,7350,1070,2195 
"        Guadeloupe",605,320,225,95,285 
"        Haiti",86075,58615,54130,4480,27465 
"        Jamaica",129125,108480,97905,10575,20645 
"        Martinique",590,365,250,115,230 
"        Montserrat",625,540,495,50,80 
"        Puerto Rico",430,290,200,90,140 
"        Saint Kitts and Nevis",2105,1950,1765,190,150 
"        Saint Lucia",5455,3005,2395,615,2450 
"        Saint Vincent and the Grenadines",12865,8335,7545,790,4530 
"        Sint Maarten (Dutch part)",125,50,40,0,75 
"        Trinidad and Tobago",68790,59915,53250,6665,8875 
"        Turks and Caicos Islands",75,40,35,0,35 
"        Virgin Islands, British",95,85,80,0,0 
"        Virgin Islands, United States",60,35,25,0,25 
"      South America",308390,218325,173505,44820,90065 
"        Argentina",19665,15080,9945,5130,4585 
"        Bolivia [5]",5220,4185,3600,585,1040 
"        Brazil",27030,13060,8150,4915,13965 
"        Chile",26795,20580,16690,3890,6215 
"        Colombia",64935,33440,20215,13225,31500 
"        Ecuador",14360,10875,9090,1785,3485 
"        French Guiana",80,60,40,15,20 
"        Guyana",88920,79010,73045,5965,9910 
"        Paraguay",7690,6940,6260,675,745 
"        Peru",27725,19475,15080,4395,8245 
"        Suriname",915,710,695,0,200 
"        Uruguay",6895,5210,3750,1465,1680 
"        Venezuela [6]",18175,9705,6950,2755,8470 
"      Americas, n.i.e. [7]",125,80,70,0,45 
"    Europe",2226100,1826250,1500565,325685,399845 
"      Western Europe",445820,333875,290165,43715,111940 
"        Austria",17685,14645,13820,830,3045 
"        Belgium",21290,16230,13935,2295,5065 
"        France",112575,67680,43985,23695,44895 
"        Germany",171870,133710,127220,6485,38160 
"        Luxembourg",495,335,325,10,155 
"        Monaco",180,135,105,30,40 
"        Netherlands",100935,84600,81135,3465,16335 
"        Switzerland",20790,16545,9640,6905,4245 
"      Eastern Europe",514335,421190,308600,112590,93150 
"        Belarus",10735,7540,5845,1690,3195 
"        Bulgaria",17820,13240,6615,6625,4570 
"        Czech Republic",21310,17730,13765,3965,3580 
"        Estonia",4170,3850,3315,535,320 
"        Hungary",40935,34210,29085,5120,6725 
"        Latvia",6580,5325,4695,635,1255 
"        Lithuania",5530,4700,4345,355,835 
"        Moldova [8]",12840,6115,4615,1500,6725 
"        Poland",154395,140200,102220,37980,14190 
"        Romania",83860,69360,38085,31275,14500 
"        Russian Federation",75350,55215,39410,15800,20130 
"        Slovakia",13485,11950,9235,2720,1530 
"        Ukraine",67335,51745,47365,4380,15595 
"      Northern Europe",629720,508095,417955,90140,121625 
"        Denmark",15405,12315,11820,495,3085 
"        Faroe Islands",40,15,20,0,20 
"        Finland",10100,8335,6940,1390,1765 
"        Guernsey",210,155,150,0,50 
"        Iceland",725,440,280,160,285 
"        Ireland, Republic of",30890,24320,20055,4275,6565 
"        Isle of Man",255,200,160,40,60 
"        Jersey",350,275,235,40,75 
"        Norway",4820,3430,3250,175,1390 
"        Sweden",7475,5250,3835,1415,2230 
"        United Kingdom [9]",559455,453355,371205,82150,106095 
"      Southern Europe",636175,563065,483825,79240,73115 
"        Albania",14055,10470,6840,3630,3585 
"        Bosnia and Herzegovina",36460,33770,29185,4585,2690 
"        Croatia",40475,38005,32580,5420,2465 
"        Gibraltar",310,260,230,25,50 
"        Greece",67245,62970,52700,10275,4270 
"        Italy",260250,233880,210590,23285,26370 
"        Kosovo [10]",6665,5140,4300,845,1525 
"        Macedonia, Republic of [11]",9730,8470,6525,1945,1255 
"        Malta",7515,6960,5845,1120,555 
"        Montenegro",1590,1375,1160,215,215 
"        Portugal",140310,116550,98230,18315,23765 
"        Serbia",33030,29475,22820,6655,3555 
"        Slovenia",8470,8090,6815,1275,375 
"        Spain",10080,7650,6005,1645,2430 
"      Europe, n.i.e. [12]",40,25,25,0,0 
"    Africa",522970,344725,284830,59900,178250 
"      Western Africa",84280,47655,39820,7830,36630 
"        Benin",1885,660,510,155,1225 
"        Burkina Faso",1355,405,310,95,945 
"        Cape Verde",190,170,140,35,20 
"        Côte d'Ivoire",6380,2350,1780,570,4030 
"        Gambia",540,355,280,75,180 
"        Ghana",21985,18050,16525,1520,3935 
"        Guinea",4230,1985,1640,350,2240 
"        Guinea-Bissau",85,60,45,0,30 
"        Liberia",2210,1470,1375,90,745 
"        Mali",1670,825,605,220,845 
"        Mauritania",550,290,255,35,260 
"        Niger",745,230,140,85,520 
"        Nigeria",31720,15595,12155,3445,16125 
"        Senegal",5690,2365,1670,695,3325 
"        Sierra Leone",2505,1805,1565,240,700 
"        Togo",2545,1040,825,220,1510 
"      Eastern Africa",162430,119850,109175,10675,42580 
"        Burundi",6880,3385,2630,755,3500 
"        Comoros",190,105,85,0,80 
"        Djibouti",1495,770,700,70,720 
"        Eritrea",8170,5255,4780,480,2910 
"        Ethiopia",25430,17830,16990,835,7600 
"        Kenya",25720,20665,19070,1595,5060 
"        Madagascar",3600,2385,1945,435,1220 
