"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Immigrant status and period of immigration (11) =   Immigrants [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"Total - Place of birth of respondent",6775765,5175135,4432555,742580,1600635 
"  Born in Canada",2220,1395,1205,190,820 
"  Born outside Canada",6773550,5173740,4431350,742390,1599810 
"    Americas",1058010,784125,638330,145790,273885 
"      North America",263760,168780,118450,50335,94975 
"        Saint Pierre and Miquelon",285,235,195,40,50 
"        United States",263470,168550,118250,50295,94925 
"      Central America",151630,114405,94640,19770,37225 
"        Belize",1705,1550,1355,195,155 
"        Costa Rica",4095,2240,1710,525,1850 
"        El Salvador",43655,36855,30305,6550,6800 
"        Guatemala",15285,13015,11275,1735,2275 
"        Honduras",5805,4165,3625,540,1645 
"        Mexico",69695,46470,37640,8825,23230 
"        Nicaragua",8945,8005,7135,875,940 
"        Panama",2445,2115,1590,525,335 
"      Caribbean and Bermuda",351430,285185,253720,31460,66250 
"        Anguilla",75,70,70,0,0 
"        Antigua and Barbuda",2400,2080,1925,160,320 
"        Aruba",535,490,450,45,40 
"        Bahamas",1525,1180,950,235,340 
"        Barbados",15460,14020,11690,2330,1440 
"        Bermuda",2280,1940,1605,325,340 
"        Cayman Islands",240,185,175,0,65 
"        Cuba",13340,7245,4780,2465,6090 
"        Curaçao",400,345,305,35,55 
"        Dominica",3045,2615,2350,265,425 
"        Dominican Republic",8450,6030,5075,950,2415 
"        Grenada",10325,8405,7335,1070,1925 
"        Guadeloupe",430,310,210,95,120 
"        Haiti",80100,58125,53660,4460,21975 
"        Jamaica",126035,108030,97515,10515,18005 
"        Martinique",490,355,245,115,135 
"        Montserrat",590,540,490,55,45 
"        Puerto Rico",380,265,170,90,120 
"        Saint Kitts and Nevis",2085,1950,1765,185,140 
"        Saint Lucia",4290,2990,2380,610,1295 
"        Saint Vincent and the Grenadines",11495,8300,7510,790,3190 
"        Sint Maarten (Dutch part)",70,20,20,0,55 
"        Trinidad and Tobago",67205,59560,52920,6640,7645 
"        Turks and Caicos Islands",65,40,35,0,25 
"        Virgin Islands, British",75,70,70,0,0 
"        Virgin Islands, United States",45,30,20,0,15 
"      South America",291090,215675,171450,44225,75415 
"        Argentina",18870,14900,9820,5080,3965 
"        Bolivia [6]",4605,3810,3305,505,795 
"        Brazil",22920,12690,7925,4770,10225 
"        Chile",25195,20380,16520,3865,4815 
"        Colombia",60555,33125,19950,13180,27425 
"        Ecuador",13635,10735,8965,1770,2900 
"        French Guiana",70,60,40,20,0 
"        Guyana",87945,78920,72960,5960,9025 
"        Paraguay",7110,6490,5890,600,630 
"        Peru",26715,19240,14905,4340,7470 
"        Suriname",865,695,685,0,165 
"        Uruguay",6600,5165,3715,1445,1430 
"        Venezuela [7]",16005,9455,6775,2680,6550 
"      Americas, n.i.e. [8]",105,75,65,0,25 
"    Europe",2127785,1791190,1471110,320080,336590 
"      Western Europe",397440,312015,270750,41265,85420 
"        Austria",17095,14415,13660,750,2680 
"        Belgium",19720,15530,13405,2125,4190 
"        France",90445,62635,39870,22760,27810 
"        Germany",152345,119785,114115,5665,32560 
"        Luxembourg",420,305,295,10,115 
"        Monaco",150,125,100,25,25 
"        Netherlands",98510,83690,80360,3325,14820 
"        Switzerland",18750,15535,8940,6590,3215 
"      Eastern Europe",501620,420090,307780,112305,81535 
"        Belarus",10435,7535,5845,1690,2905 
"        Bulgaria",17555,13220,6595,6625,4335 
"        Czech Republic",20390,17625,13715,3915,2755 
"        Estonia",4090,3830,3290,530,265 
"        Hungary",38985,34130,29050,5080,4855 
"        Latvia",6125,5320,4690,630,805 
"        Lithuania",5335,4695,4340,350,640 
"        Moldova [9]",12195,6080,4575,1500,6120 
"        Poland",152285,139895,101935,37960,12395 
"        Romania",82595,69205,37965,31235,13395 
