"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Immigrant status and period of immigration (11) =     2001 to 2011 [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"Total - Place of birth of respondent",2154985,923245,727760,195480,1231745 
"  Born in Canada",570,205,200,0,365 
"  Born outside Canada",2154415,923040,727565,195475,1231380 
"    Americas",324055,134295,92125,42170,189760 
"      North America",76955,32290,20620,11675,44665 
"        Saint Pierre and Miquelon",30,0,0,0,20 
"        United States",76930,32280,20615,11665,44650 
"      Central America",51795,20805,15340,5470,30985 
"        Belize",395,320,260,60,80 
"        Costa Rica",2430,705,495,210,1720 
"        El Salvador",6600,2250,1725,525,4345 
"        Guatemala",2410,1205,965,245,1205 
"        Honduras",2020,665,565,100,1355 
"        Mexico",36675,15125,10945,4185,21550 
"        Nicaragua",825,300,255,45,520 
"        Panama",445,230,135,95,215 
"      Caribbean and Bermuda",79765,30780,25195,5585,48990 
"        Anguilla",0,0,0,0,0 
"        Antigua and Barbuda",215,20,0,0,195 
"        Aruba",0,0,0,0,0 
"        Bahamas",440,190,130,55,255 
"        Barbados",1275,615,400,220,665 
"        Bermuda",825,630,535,95,195 
"        Cayman Islands",140,85,80,0,55 
"        Cuba",9265,3535,2070,1470,5725 
"        Curaçao",25,0,0,0,25 
"        Dominica",420,165,135,0,260 
"        Dominican Republic",3240,1200,925,275,2040 
"        Grenada",2030,785,700,85,1245 
"        Guadeloupe",150,45,30,10,105 
"        Haiti",29760,10065,9135,930,19695 
"        Jamaica",18620,7915,6705,1210,10710 
"        Martinique",175,55,20,35,120 
"        Montserrat",0,0,0,0,0 
"        Puerto Rico",150,80,45,35,75 
"        Saint Kitts and Nevis",125,50,50,0,75 
"        Saint Lucia",1680,565,425,145,1115 
"        Saint Vincent and the Grenadines",3630,1325,1140,185,2300 
"        Sint Maarten (Dutch part)",20,0,0,0,15 
"        Trinidad and Tobago",7435,3385,2595,790,4050 
"        Turks and Caicos Islands",25,0,0,0,25 
"        Virgin Islands, British",45,45,50,0,0 
"        Virgin Islands, United States",15,0,0,0,15 
"      South America",115480,50395,30950,19445,65085 
"        Argentina",7160,4125,1685,2445,3035 
"        Bolivia [6]",2340,1590,1305,285,745 
"        Brazil",13305,3770,1885,1890,9535 
"        Chile",3640,1355,975,375,2290 
"        Colombia",47640,20860,11635,9220,26785 
"        Ecuador",3785,1600,1080,525,2185 
"        French Guiana",25,0,0,0,0 
"        Guyana",12650,6520,5820,695,6130 
"        Paraguay",1840,1310,980,335,530 
"        Peru",11375,4745,2985,1755,6635 
"        Suriname",180,80,75,0,100 
"        Uruguay",1525,610,280,325,920 
"        Venezuela [7]",10020,3825,2245,1580,6195 
"      Americas, n.i.e. [8]",50,25,0,0,25 
"    Europe",312140,138325,83600,54730,173810 
"      Western Europe",63475,17795,10175,7620,45675 
"        Austria",750,145,105,40,600 
"        Belgium",3175,1090,630,455,2090 
"        France",33545,10160,4820,5340,23390 
"        Germany",16785,3745,2960,790,13040 
"        Luxembourg",60,15,0,0,45 
"        Monaco",35,0,0,0,20 
"        Netherlands",6095,1315,990,330,4775 
"        Switzerland",3030,1310,650,665,1720 
"      Eastern Europe",150340,82130,48675,33455,68210 
"        Belarus",5720,2960,1990,970,2760 
"        Bulgaria",10570,6460,2715,3745,4115 
"        Czech Republic",2050,435,335,105,1615 
"        Estonia",415,210,160,45,205 
"        Hungary",5300,1675,990,680,3625 
"        Latvia",1110,465,355,110,640 
"        Lithuania",1415,855,790,70,560 
"        Moldova [9]",9480,3425,2430,990,6065 
"        Poland",10715,4845,3190,1650,5870 
"        Romania",36630,24445,9855,14590,12185 
"        Russian Federation",36095,19325,11800,7525,16775 
"        Slovakia",2780,1860,1145,720,915 
"        Ukraine",28060,15180,12925,2255,12880 
"      Northern Europe",60425,17415,10235,7175,43015 
"        Denmark",585,135,100,35,450 
"        Faroe Islands",0,0,0,0,0 
"        Finland",630,205,90,120,425 
"        Guernsey",30,0,0,0,15 
"        Iceland",210,35,15,25,175 
"        Ireland, Republic of",2620,725,465,260,1895 
"        Isle of Man",25,0,0,0,0 
"        Jersey",55,0,0,0,55 
"        Norway",480,115,70,45,365 
"        Sweden",1180,310,115,195,875 
"        United Kingdom [10]",54615,15865,9370,6495,38750 
"      Southern Europe",37880,20990,14515,6470,16890 
"        Albania",8760,5710,3670,2045,3050 
"        Bosnia and Herzegovina",3660,2515,1960,555,1150 
"        Croatia",2015,1275,960,320,740 
"        Gibraltar",20,0,0,0,20 
"        Greece",1730,795,575,220,930 
"        Italy",3800,1720,1275,440,2080 
"        Kosovo [11]",2550,1530,1360,170,1025 
"        Macedonia, Republic of [12]",2615,1695,945,755,920 
"        Malta",250,125,55,75,125 
"        Montenegro",280,165,120,40,120 
"        Portugal",5300,1960,1470,490,3340 
"        Serbia",5400,2945,1760,1185,2455 
"        Slovenia",135,70,60,0,65 
"        Spain",1370,495,325,175,875 
"      Europe, n.i.e. [13]",0,0,0,0,0 
"    Africa",247430,107005,79865,27140,140430 
"      Western Africa",46500,18740,14590,4150,27760 
"        Benin",1315,360,240,115,955 
"        Burkina Faso",845,235,170,65,610 
"        Cape Verde",30,25,0,0,0 
"        Côte d'Ivoire",4330,1035,710,330,3290 
"        Gambia",235,100,80,25,130 
"        Ghana",6225,3375,3045,330,2855 
"        Guinea",2740,1045,890,155,1695 
"        Guinea-Bissau",50,0,0,0,30 
"        Liberia",1360,750,690,65,615 
"        Mali",925,330,220,110,600 
"        Mauritania",435,230,200,35,200 
"        Niger",510,115,80,35,395 
"        Nigeria",20100,8240,6090,2150,11860 
"        Senegal",3945,1325,895,430,2625 
"        Sierra Leone",1455,905,750,145,555 
"        Togo",1995,660,515,145,1335 
"      Eastern Africa",60135,27675,23870,3810,32455 
"        Burundi",4520,1775,1320,455,2750 
"        Comoros",145,75,55,0,75 
"        Djibouti",765,260,230,30,500 
"        Eritrea",3470,1115,990,125,2355 
"        Ethiopia",11950,5670,5395,275,6275 
"        Kenya",7355,3715,3100,615,3640 
"        Madagascar",1480,595,425,170,890 
"        Malawi",225,175,150,25,50 
"        Mauritius",6805,2855,1815,1035,3955 
"        Mozambique",150,50,40,0,95 
"        Réunion",225,60,20,45,160 
"        Rwanda",3210,1120,920,200,2085 
"        Seychelles",140,35,30,0,105 
"        Somalia",7845,3925,3575,355,3920 
"        Tanzania [14]",2895,1800,1735,60,1095 
"        Uganda",1985,885,760,120,1100 
"        Zambia",1085,465,420,45,615 
"        Zimbabwe",5875,3090,2875,215,2790 
"      Northern Africa",107775,46515,29840,16680,61255 
"        Algeria",36845,16295,9870,6420,20555 
"        Egypt",18260,7245,4570,2675,11020 
"        Libya [15]",2980,955,705,250,2025 
"        Morocco",34375,14670,9270,5405,19705 
"        Sudan",8010,4645,3855,795,3365 
"        Tunisia",7290,2710,1570,1145,4585 
"      Central Africa",20990,8225,7270,960,12765 
"        Angola",900,555,420,140,345 
"        Cameroon",6730,1690,1510,185,5035 
"        Central African Republic",170,20,0,0,145 
"        Chad",485,230,190,40,255 
"        Congo, The Democratic Republic of the",10800,4910,4500,410,5885 
"        Congo, Republic of the",1220,530,455,75,690 
"        Equatorial Guinea",50,0,0,0,40 
"        Gabon",635,270,190,80,365 
"      Southern Africa",12040,5845,4300,1540,6190 
"        Botswana",255,80,75,0,175 
"        Lesotho",30,0,0,0,20 
"        Namibia",440,140,100,35,300 
"        South Africa, Republic of",11235,5570,4070,1500,5665 
"        Swaziland",85,50,55,0,30 
"      Africa, n.i.e. [16]",0,0,0,0,0 
"    Asia",1257185,537780,468010,69770,719400 
"      West Central Asia and the Middle East",204630,94840,69495,25340,109790 
"        Afghanistan",21265,12180,10375,1800,9085 
"        Armenia",2105,960,755,210,1145 
"        Azerbaijan",2020,890,730,160,1130 
"        Bahrain",745,370,345,25,370 
"        Cyprus",235,125,70,55,110 
"        Georgia",1115,665,590,75,450 
"        Iran [17]",56390,26870,18575,8300,29520 
"        Iraq",26400,9660,7575,2085,16740 
"        Israel",8735,4050,2280,1765,4685 
"        Jordan",5900,2535,1820,715,3370 
"        Kazakhstan",6330,2540,2015,515,3795 
"        Kuwait",5255,2580,2165,415,2670 
"        Kyrgyzstan",1415,795,730,70,620 
"        Lebanon",21620,10565,6890,3675,11055 
"        Oman",830,445,355,85,385 
"        Qatar",870,350,290,60,515 
"        Saudi Arabia",7345,2960,2380,580,4385 
"        Syria [18]",8130,3990,2670,1320,4140 
"        Tajikistan",780,345,310,35,440 
"        Turkey",10865,4710,2940,1775,6155 
"        Turkmenistan",330,220,160,65,105 
"        United Arab Emirates",9270,4055,3350,705,5220 
"        Uzbekistan",3495,1420,1065,360,2075 
"        West Bank and Gaza Strip (Palestine) [19]",2330,1175,795,385,1155 
"        Yemen",850,365,265,105,480 
