"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Alberta [1]"
"Global non-response rate (GNR) [2] =  27.4 %"
"Immigrant status and period of immigration (11) =     2001 to 2011 [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"Total - Place of birth of respondent",257230,110690,89060,21635,146535 
"  Born in Canada",140,35,35,0,105 
"  Born outside Canada",257090,110660,89025,21635,146430 
"    Americas",35020,15265,10295,4970,19755 
"      North America",9675,3715,2255,1460,5960 
"        Saint Pierre and Miquelon",0,0,0,0,0 
"        United States",9675,3715,2255,1465,5960 
"      Central America",8605,4120,3205,915,4480 
"        Belize",205,175,125,50,30 
"        Costa Rica",280,75,45,35,205 
"        El Salvador",1170,320,255,60,850 
"        Guatemala",320,140,105,35,180 
"        Honduras",80,20,15,0,60 
"        Mexico",6415,3340,2615,730,3075 
"        Nicaragua",100,30,25,0,75 
"        Panama",40,20,20,0,0 
"      Caribbean and Bermuda",3185,1220,930,280,1970 
"        Anguilla",0,0,0,0,0 
"        Antigua and Barbuda",0,0,0,0,0 
"        Aruba",0,0,0,0,0 
"        Bahamas",20,0,0,0,25 
"        Barbados",55,25,0,0,30 
"        Bermuda",20,0,0,0,0 
"        Cayman Islands",0,0,0,0,0 
"        Cuba",930,370,200,170,560 
"        Curaçao",0,0,0,0,0 
"        Dominica",0,0,0,0,0 
"        Dominican Republic",210,45,40,0,165 
"        Grenada",50,0,0,0,45 
"        Guadeloupe",0,0,0,0,0 
"        Haiti",520,195,190,0,325 
"        Jamaica",775,285,255,30,495 
"        Martinique",0,0,0,0,0 
"        Montserrat",0,0,0,0,0 
"        Puerto Rico",55,0,0,0,0 
"        Saint Kitts and Nevis",0,0,0,0,0 
"        Saint Lucia",40,15,10,0,25 
"        Saint Vincent and the Grenadines",115,65,60,0,50 
