"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Ontario [1]"
"Global non-response rate (GNR) [2] =  27.1 %"
"Immigrant status and period of immigration (11) =     2001 to 2011 [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"Total - Place of birth of respondent",1019460,483570,391110,92460,535890 
"  Born in Canada",245,110,105,0,135 
"  Born outside Canada",1019220,483460,391005,92455,535755 
"    Americas",149365,67015,47560,19460,82350 
"      North America",36170,15995,10415,5585,20170 
"        Saint Pierre and Miquelon",0,0,0,0,0 
"        United States",36170,16000,10415,5580,20170 
"      Central America",18265,8230,6420,1810,10040 
"        Belize",50,50,45,0,0 
"        Costa Rica",1545,370,285,85,1170 
"        El Salvador",2615,1120,865,250,1495 
"        Guatemala",965,500,415,90,470 
"        Honduras",745,320,310,15,420 
"        Mexico",11760,5600,4310,1285,6160 
"        Nicaragua",395,170,140,30,225 
"        Panama",200,95,55,40,100 
"      Caribbean and Bermuda",41845,17500,14015,3480,24355 
"        Anguilla",0,0,0,0,0 
"        Antigua and Barbuda",155,20,0,0,135 
"        Aruba",0,0,0,0,0 
"        Bahamas",265,140,125,0,120 
"        Barbados",1050,525,345,175,525 
"        Bermuda",355,235,205,20,125 
"        Cayman Islands",65,45,40,0,0 
"        Cuba",4730,2185,1350,835,2545 
"        Curaçao",0,0,0,0,0 
"        Dominica",370,155,125,0,215 
"        Dominican Republic",1270,570,475,90,705 
"        Grenada",1645,595,540,55,1050 
"        Guadeloupe",30,0,0,0,30 
"        Haiti",5030,1285,1150,130,3740 
"        Jamaica",16655,7255,6115,1150,9395 
"        Martinique",0,0,0,0,0 
"        Montserrat",0,0,0,0,0 
"        Puerto Rico",45,15,10,0,30 
"        Saint Kitts and Nevis",95,40,40,0,55 
"        Saint Lucia",1405,430,330,105,975 
"        Saint Vincent and the Grenadines",2195,965,830,140,1225 
"        Sint Maarten (Dutch part)",0,0,0,0,0 
"        Trinidad and Tobago",6390,2975,2255,720,3410 
"        Turks and Caicos Islands",0,0,0,0,0 
"        Virgin Islands, British",35,35,35,0,0 
"        Virgin Islands, United States",0,0,0,0,0 
"      South America",53055,25280,16695,8585,27780 
