"Citizenship (5), Place of Birth (236), Immigrant Status and Period of Immigration (11), Age Groups (10) and Sex (3) for the Population in Private Households of Canada, Provinces, Territories, Census Metropolitan Areas and Census Agglomerations, 2011 National Household Survey"
"Geography = Quebec / Québec [1]"
"Global non-response rate (GNR) [2] =  22.4 %"
"Immigrant status and period of immigration (11) =     2001 to 2011 [3]"
"Age groups (10) = Total - Age groups"
"Sex (3) = Total - Sex"
"Place of birth (236)","Total - Citizenship [4]","  Canadian citizens","    Canadian citizens only","    Citizens of Canada and at least one other country","  Not Canadian citizens [5]", 
"Total - Place of birth of respondent",380825,150035,99820,50220,230790 
"  Born in Canada",95,45,40,0,55 
"  Born outside Canada",380730,149990,99775,50215,230740 
"    Americas",90880,31570,20915,10660,59310 
"      North America",8850,3595,2305,1285,5260 
"        Saint Pierre and Miquelon",25,0,0,0,15 
"        United States",8830,3585,2305,1280,5240 
"      Central America",14535,4295,2600,1705,10240 
"        Belize",0,0,0,0,0 
"        Costa Rica",335,120,75,45,215 
"        El Salvador",1045,360,235,125,685 
"        Guatemala",705,345,295,45,360 
"        Honduras",655,200,140,60,455 
"        Mexico",11520,3150,1750,1400,8380 
"        Nicaragua",135,55,45,0,85 
"        Panama",135,65,50,15,65 
"      Caribbean and Bermuda",30920,10600,9130,1465,20320 
"        Anguilla",0,0,0,0,0 
"        Antigua and Barbuda",0,0,0,0,0 
"        Aruba",0,0,0,0,0 
"        Bahamas",65,40,0,35,0 
"        Barbados",110,40,15,0,70 
"        Bermuda",20,20,0,0,0 
"        Cayman Islands",0,0,0,0,0 
"        Cuba",2670,730,405,320,1945 
"        Curaçao",0,0,0,0,0 
"        Dominica",30,0,0,0,30 
"        Dominican Republic",1530,550,380,170,975 
"        Grenada",280,135,125,0,155 
"        Guadeloupe",115,35,30,0,80 
"        Haiti",23725,8420,7645,775,15300 
"        Jamaica",470,195,180,20,275 
"        Martinique",160,55,20,30,105 
"        Montserrat",0,0,0,0,0 
"        Puerto Rico",25,0,0,0,20 
"        Saint Kitts and Nevis",10,0,0,0,0 
"        Saint Lucia",180,85,60,25,95 
"        Saint Vincent and the Grenadines",1255,265,220,45,990 
"        Sint Maarten (Dutch part)",0,0,0,0,0 
"        Trinidad and Tobago",225,15,15,0,210 
"        Turks and Caicos Islands",0,0,0,0,0 
"        Virgin Islands, British",0,0,0,0,0 
"        Virgin Islands, United States",0,0,0,0,0 
"      South America",36550,13080,6875,6200,23475 
"        Argentina",2450,1440,450,990,1010 
"        Bolivia [6]",290,145,65,80,145 
"        Brazil",4320,715,355,355,3605 
"        Chile",1400,495,390,100,910 
"        Colombia",17785,6405,3370,3035,11385 
"        Ecuador",690,300,170,125,390 
"        French Guiana",20,0,0,0,0 
"        Guyana",170,80,75,0,90 
"        Paraguay",145,20,20,0,125 
"        Peru",5660,2275,1360,915,3385 
"        Suriname",0,0,0,0,0 
"        Uruguay",595,230,85,145,360 
"        Venezuela [7]",3000,950,510,445,2045 
"      Americas, n.i.e. [8]",20,0,0,0,0 
"    Europe",77745,32775,16240,16535,44970 
"      Western Europe",32995,9785,4700,5085,23215 
"        Austria",125,0,0,0,115 
"        Belgium",1840,550,290,260,1295 
"        France",28125,8345,3840,4500,19780 
"        Germany",1295,300,225,80,990 
"        Luxembourg",20,0,0,0,20 
"        Monaco",20,0,0,0,0 
"        Netherlands",370,110,75,35,260 
"        Switzerland",1205,465,265,200,740 
"      Eastern Europe",37125,19795,9530,10265,17330 
"        Belarus",1090,465,380,90,625 
"        Bulgaria",4090,2455,845,1610,1630 
"        Czech Republic",190,55,30,25,135 
"        Estonia",20,0,0,0,0 
"        Hungary",520,155,140,20,360 
"        Latvia",115,25,0,0,90 
"        Lithuania",90,40,25,0,50 
"        Moldova [9]",5145,1150,765,385,3995 
"        Poland",785,405,270,135,375 
"        Romania",15365,10325,4010,6310,5045 
"        Russian Federation",5675,2915,1745,1165,2760 
"        Slovakia",95,55,50,0,35 
"        Ukraine",3945,1730,1245,485,2210 
"      Northern Europe",2595,745,335,410,1850 
"        Denmark",55,0,0,0,55 
"        Faroe Islands",0,0,0,0,0 
"        Finland",75,20,0,15,55 
"        Guernsey",0,0,0,0,0 
"        Iceland",0,0,0,0,0 
"        Ireland, Republic of",160,50,0,40,110 
"        Isle of Man",0,0,0,0,0 
"        Jersey",0,0,0,0,0 
"        Norway",60,0,0,0,60 
"        Sweden",200,60,0,55,135 
"        United Kingdom [10]",2030,600,310,290,1430 
"      Southern Europe",5025,2450,1680,770,2570 
"        Albania",1225,675,445,230,550 
"        Bosnia and Herzegovina",495,350,290,60,140 
"        Croatia",150,95,85,0,55 
"        Gibraltar",0,0,0,0,0 
"        Greece",480,235,170,60,245 
"        Italy",950,340,210,130,610 
"        Kosovo [11]",285,145,135,10,140 
"        Macedonia, Republic of [12]",75,20,0,20,60 
"        Malta",0,0,0,0,0 
"        Montenegro",70,20,20,0,50 
"        Portugal",515,275,170,100,240 
"        Serbia",305,105,55,45,205 
"        Slovenia",20,0,0,0,0 
"        Spain",440,185,90,95,250 
"      Europe, n.i.e. [13]",0,0,0,0,0 
"    Africa",114190,45075,29935,15140,69120 
"      Western Africa",15450,4720,3485,1245,10730 
"        Benin",1115,285,180,100,835 
"        Burkina Faso",665,180,125,55,480 
"        Cape Verde",0,0,0,0,0 
"        Côte d'Ivoire",3410,655,420,235,2755 
"        Gambia",65,20,20,0,45 
"        Ghana",550,295,275,25,250 
"        Guinea",2250,840,725,120,1410 
"        Guinea-Bissau",30,0,0,0,25 
"        Liberia",85,35,20,0,50 
"        Mali",785,275,195,75,510 
"        Mauritania",330,155,140,0,175 
"        Niger",405,75,50,25,330 
"        Nigeria",710,330,250,80,380 
"        Senegal",3360,1035,680,355,2325 
"        Sierra Leone",160,95,80,15,65 
"        Togo",1520,425,320,110,1090 
"      Eastern Africa",9995,3565,2665,900,6430 
"        Burundi",2380,790,555,230,1590 
"        Comoros",130,65,55,0,65 
"        Djibouti",130,60,45,15,70 
"        Eritrea",80,35,30,0,45 
"        Ethiopia",310,135,130,0,170 
"        Kenya",240,75,70,0,160 
"        Madagascar",1245,485,360,125,760 
"        Malawi",30,25,25,0,0 
